ordinal	commandId	phase	cwd	argv	expectedExit	immediateCopy
28	F08-COMPARE	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-compare clean -Dtest=ReleasePolicyParserContractTests,SupplyChainEvidenceContractTests,SecretFinalizeContractTests,CompareBuildConfigurationContractTests test	0	focused/hrd-08/tfi-compare/TEST-com.syy.taskflowinsight.architecture.ReleasePolicyParserContractTests.xml,focused/hrd-08/tfi-compare/TEST-com.syy.taskflowinsight.architecture.SupplyChainEvidenceContractTests.xml,focused/hrd-08/tfi-compare/TEST-com.syy.taskflowinsight.architecture.SecretFinalizeContractTests.xml,focused/hrd-08/tfi-compare/TEST-com.syy.taskflowinsight.architecture.CompareBuildConfigurationContractTests.xml
29	F08-ALL	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-all -Dtest=com.syy.taskflowinsight.api.SensitiveLogCanaryIntegrationTests test	0	focused/hrd-08/tfi-all/TEST-com.syy.taskflowinsight.api.SensitiveLogCanaryIntegrationTests.xml
30	F08-POLICY	focused	<REPO_ROOT>	java scripts/release-evidence/ReleaseEvidenceVerifier.java verify-policy scripts/release-evidence/fixtures/production-policy/policy.tsv	0	focused/hrd-08/policy-verifier.log
31	F-COMPLETION-PRE	focused	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-compare clean -Dtfi.release.audit.mode=<AUDIT_MODE> -Dtest=com.syy.taskflowinsight.architecture.CompareReleaseHardeningCompletionAuditTests,com.syy.taskflowinsight.architecture.ReleaseEvidenceVerifierContractTests test	0	focused/hrd-05/tfi-compare/TEST-com.syy.taskflowinsight.architecture.CompareReleaseHardeningCompletionAuditTests.xml,focused/hrd-05/tfi-compare/TEST-com.syy.taskflowinsight.architecture.ReleaseEvidenceVerifierContractTests.xml
32	M-OWNERS-VERIFY	module-verify	<REPO_ROOT>	./mvnw -Drevision=<FINAL_VERSION> -Dmaven.repo.local=<RUN_REPO> -pl tfi-flow-spring-starter,tfi-compare,tfi-compare-spring-starter,tfi-ops-spring,tfi-examples,tfi-all -am clean verify	0	module-verify/maven.log,module-verify/tfi-compare/jacoco.xml,module-verify/tfi-compare/spotbugs.xml,module-verify/tfi-compare/checkstyle.xml,module-verify/tfi-compare/pmd.xml,module-verify/tfi-compare-spring-starter/jacoco.xml,module-verify/tfi-compare-spring-starter/spotbugs.xml,module-verify/tfi-compare-spring-starter/checkstyle.xml,module-verify/tfi-compare-spring-starter/pmd.xml
33	C-STARTER	artifact	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<DISPOSABLE_REPO> -f tfi-compare/src/it/artifact-consumers/starter-only/pom.xml -Pcandidate -Dtfi.candidate.version=<CANDIDATE_VERSION> -Dtfi.it.phase=starter-only -Dtfi.it.expected.version=<CANDIDATE_VERSION> -Dtfi.it.expected.repository=<DISPOSABLE_REPO> -Dtfi.it.expected.sha.manifest=<EVIDENCE>/metadata/candidate-artifacts.sha256 -Dtfi.it.codesource.output=<EVIDENCE>/artifact-consumers/starter-only/codesource.tsv clean dependency:tree -DoutputType=text -DoutputFile=<EVIDENCE>/artifact-consumers/starter-only/dependency-tree.txt test	0	artifact-consumers/starter-only/maven.log,artifact-consumers/starter-only/dependency-tree.txt,artifact-consumers/starter-only/codesource.tsv,artifact-consumers/starter-only/TEST-com.syy.taskflowinsight.it.StarterOnlyArtifactTests.xml
34	C-OPS	artifact	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<DISPOSABLE_REPO> -f tfi-compare/src/it/artifact-consumers/ops-only/pom.xml -Pcandidate -Dtfi.candidate.version=<CANDIDATE_VERSION> -Dtfi.it.phase=ops-only -Dtfi.it.expected.version=<CANDIDATE_VERSION> -Dtfi.it.expected.repository=<DISPOSABLE_REPO> -Dtfi.it.expected.sha.manifest=<EVIDENCE>/metadata/candidate-artifacts.sha256 -Dtfi.it.codesource.output=<EVIDENCE>/artifact-consumers/ops-only/codesource.tsv clean dependency:tree -DoutputType=text -DoutputFile=<EVIDENCE>/artifact-consumers/ops-only/dependency-tree.txt test	0	artifact-consumers/ops-only/maven.log,artifact-consumers/ops-only/dependency-tree.txt,artifact-consumers/ops-only/codesource.tsv,artifact-consumers/ops-only/TEST-com.syy.taskflowinsight.it.OpsOnlyArtifactTests.xml
35	C-COMPOSED	artifact	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<DISPOSABLE_REPO> -f tfi-compare/src/it/artifact-consumers/composed-boot/pom.xml -Pcandidate -Dtfi.candidate.version=<CANDIDATE_VERSION> -Dtfi.it.phase=composed-boot -Dtfi.it.expected.version=<CANDIDATE_VERSION> -Dtfi.it.expected.repository=<DISPOSABLE_REPO> -Dtfi.it.expected.sha.manifest=<EVIDENCE>/metadata/candidate-artifacts.sha256 -Dtfi.it.codesource.output=<EVIDENCE>/artifact-consumers/composed-boot/codesource.tsv clean dependency:tree -DoutputType=text -DoutputFile=<EVIDENCE>/artifact-consumers/composed-boot/dependency-tree.txt test	0	artifact-consumers/composed-boot/maven.log,artifact-consumers/composed-boot/dependency-tree.txt,artifact-consumers/composed-boot/codesource.tsv,artifact-consumers/composed-boot/TEST-com.syy.taskflowinsight.it.ComposedBootArtifactTests.xml
36	C-HIERARCHY	artifact	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<DISPOSABLE_REPO> -f tfi-compare/src/it/artifact-consumers/context-hierarchy/pom.xml -Pcandidate -Dtfi.candidate.version=<CANDIDATE_VERSION> -Dtfi.it.phase=context-hierarchy -Dtfi.it.expected.version=<CANDIDATE_VERSION> -Dtfi.it.expected.repository=<DISPOSABLE_REPO> -Dtfi.it.expected.sha.manifest=<EVIDENCE>/metadata/candidate-artifacts.sha256 -Dtfi.it.codesource.output=<EVIDENCE>/artifact-consumers/context-hierarchy/codesource.tsv clean dependency:tree -DoutputType=text -DoutputFile=<EVIDENCE>/artifact-consumers/context-hierarchy/dependency-tree.txt test	0	artifact-consumers/context-hierarchy/maven.log,artifact-consumers/context-hierarchy/dependency-tree.txt,artifact-consumers/context-hierarchy/codesource.tsv,artifact-consumers/context-hierarchy/TEST-com.syy.taskflowinsight.it.ContextHierarchyArtifactTests.xml
37	C-ROLLBACK-BEFORE	artifact	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<DISPOSABLE_REPO> -f tfi-compare/src/it/artifact-consumers/baseline-upgrade-rollback/pom.xml -Pbaseline -Dtfi.candidate.version=<CANDIDATE_VERSION> -Dtfi.it.phase=baseline-before -Dtfi.it.expected.version=3.0.0 -Dtfi.it.expected.repository=<DISPOSABLE_REPO> -Dtfi.it.expected.sha.manifest=<EVIDENCE>/metadata/normalized-baseline-artifacts.sha256 -Dtfi.it.codesource.output=<EVIDENCE>/artifact-consumers/baseline-upgrade-rollback/baseline-before/codesource.tsv clean dependency:tree -DoutputType=text -DoutputFile=<EVIDENCE>/artifact-consumers/baseline-upgrade-rollback/baseline-before/dependency-tree.txt test	0	artifact-consumers/baseline-upgrade-rollback/baseline-before/maven.log,artifact-consumers/baseline-upgrade-rollback/baseline-before/dependency-tree.txt,artifact-consumers/baseline-upgrade-rollback/baseline-before/codesource.tsv,artifact-consumers/baseline-upgrade-rollback/baseline-before/TEST-com.syy.taskflowinsight.it.StableFacadeSmokeTests.xml
38	C-ROLLBACK-CANDIDATE	artifact	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<DISPOSABLE_REPO> -f tfi-compare/src/it/artifact-consumers/baseline-upgrade-rollback/pom.xml -Pcandidate -Dtfi.candidate.version=<CANDIDATE_VERSION> -Dtfi.it.phase=candidate -Dtfi.it.expected.version=<CANDIDATE_VERSION> -Dtfi.it.expected.repository=<DISPOSABLE_REPO> -Dtfi.it.expected.sha.manifest=<EVIDENCE>/metadata/candidate-artifacts.sha256 -Dtfi.it.codesource.output=<EVIDENCE>/artifact-consumers/baseline-upgrade-rollback/candidate/codesource.tsv clean dependency:tree -DoutputType=text -DoutputFile=<EVIDENCE>/artifact-consumers/baseline-upgrade-rollback/candidate/dependency-tree.txt test	0	artifact-consumers/baseline-upgrade-rollback/candidate/maven.log,artifact-consumers/baseline-upgrade-rollback/candidate/dependency-tree.txt,artifact-consumers/baseline-upgrade-rollback/candidate/codesource.tsv,artifact-consumers/baseline-upgrade-rollback/candidate/TEST-com.syy.taskflowinsight.it.StableFacadeSmokeTests.xml
39	C-ROLLBACK-AFTER	artifact	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<DISPOSABLE_REPO> -f tfi-compare/src/it/artifact-consumers/baseline-upgrade-rollback/pom.xml -Pbaseline -Dtfi.candidate.version=<CANDIDATE_VERSION> -Dtfi.it.phase=baseline-after -Dtfi.it.expected.version=3.0.0 -Dtfi.it.expected.repository=<DISPOSABLE_REPO> -Dtfi.it.expected.sha.manifest=<EVIDENCE>/metadata/normalized-baseline-artifacts.sha256 -Dtfi.it.codesource.output=<EVIDENCE>/artifact-consumers/baseline-upgrade-rollback/baseline-after/codesource.tsv clean dependency:tree -DoutputType=text -DoutputFile=<EVIDENCE>/artifact-consumers/baseline-upgrade-rollback/baseline-after/dependency-tree.txt test	0	artifact-consumers/baseline-upgrade-rollback/baseline-after/maven.log,artifact-consumers/baseline-upgrade-rollback/baseline-after/dependency-tree.txt,artifact-consumers/baseline-upgrade-rollback/baseline-after/codesource.tsv,artifact-consumers/baseline-upgrade-rollback/baseline-after/TEST-com.syy.taskflowinsight.it.StableFacadeSmokeTests.xml
40	C-MIXED	artifact	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<DISPOSABLE_REPO> -f tfi-compare/src/it/artifact-consumers/baseline-upgrade-rollback/pom.xml -Pmixed -Dtfi.candidate.version=<CANDIDATE_VERSION> clean validate	NON_ZERO_DEPENDENCY_CONVERGENCE	artifact-consumers/baseline-upgrade-rollback/mixed/maven.log,artifact-consumers/baseline-upgrade-rollback/mixed/expected-failure.tsv
41	A-BASELINE-CHECK	api	.mvn/api-baseline	shasum -a 256 -c SHA256SUMS	0	api/baseline-check.txt
42	A-CONTRACTS	api	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-compare clean -Dtest=com.syy.taskflowinsight.compatibility.CompareApiInventoryContractTests,com.syy.taskflowinsight.compatibility.CompareBreakingChangeManifestTests,com.syy.taskflowinsight.compatibility.CompareManifestCoverageTests,com.syy.taskflowinsight.compatibility.CompareResourceInventoryContractTests,com.syy.taskflowinsight.compatibility.CompareSpringRemovalContractTests,com.syy.taskflowinsight.architecture.CompareDependencyBoundaryTests,com.syy.taskflowinsight.architecture.CompareBuildConfigurationContractTests test	0	api/contracts.log
43	A-JAPICMP	api	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-compare -Papi-compat verify -DskipTests	0	api/japicmp.log
44	A-TREE	api	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -pl tfi-all dependency:tree -DoutputType=text -DoutputFile=<EVIDENCE>/api/dependency-tree.txt	0	api/dependency-tree.txt
45	P-JMH	performance	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -q -pl tfi-examples -Pbench -DskipTests compile org.codehaus.mojo:exec-maven-plugin:3.5.0:exec -Dexec.executable=java -Dexec.classpathScope=runtime -Dexec.args=-cp\ %classpath\ com.syy.taskflowinsight.benchmark.TfiRoutingBenchmarkRunner	0	performance/jmh.log,performance/tfi-routing-enabled.json,performance/tfi-routing-legacy.json,performance/artifacts.tsv
46	P-STRICT	performance	<REPO_ROOT>	./mvnw -Dmaven.repo.local=<RUN_REPO> -Drevision=<FINAL_VERSION> -q -pl tfi-all -Dtest=TfiRoutingPerfGateTests -Dit.test=TfiRoutingPerfGateIT verify -Dtfi.perf.enabled=true -Dtfi.perf.strict=true	0	performance/strict.log,performance/TEST-com.syy.taskflowinsight.perf.TfiRoutingPerfGateTests.xml,performance/TEST-com.syy.taskflowinsight.perf.TfiRoutingPerfGateIT.xml
47	V-PORTFOLIO	portfolio	<REPO_ROOT>	./mvnw -Drevision=<FINAL_VERSION> -Dmaven.repo.local=<RUN_REPO> clean verify	0	portfolio/reactor.log,portfolio/test-summary.tsv
48	S-PUBLISH-ASSEMBLE	supply-chain	<REPO_ROOT>	java scripts/release-evidence/PublishArtifactAssembler.java assemble <EVIDENCE> <PRODUCTION_POLICY>	0	-
49	S-SUPPLY-COLLECT	supply-chain	<REPO_ROOT>	bash scripts/collect_tfi_compare_supply_chain_evidence.sh collect <EVIDENCE> <PRODUCTION_POLICY>	0	-
50	S-SECRET-FINALIZE	supply-chain	<REPO_ROOT>	bash scripts/collect_tfi_compare_supply_chain_evidence.sh secret-finalize <EVIDENCE> <PRODUCTION_POLICY>	0	-
51	S-VERIFY-SUPPLY	supply-chain	<REPO_ROOT>	java scripts/release-evidence/ReleaseEvidenceVerifier.java verify-supply-chain <EVIDENCE> <PRODUCTION_POLICY>	0	-
